Number|Gender|GivenName|Surname|StreetAddress|City|State|ZipCode|CountryFull|TelephoneNumber|Birthday|NationalID|Occupation|CCType
5205|male|Breno|Dias|Rua das Camélias 1101|São José|SC|88102-480|Brazil|(48) 5866-4324|5/29/1932|115.242.196-49|Surgical technician|Visa
5206|male|Martim|Barros|Rua Oswaldo Bastos de Souza Freitas 684|Vitória|ES|29090-450|Brazil|(27) 6844-6699|1/26/1979|223.886.678-79|Economic geographer|Visa
5207|male|Diogo|Barros|Avenida Doutor Luiz Passos 1659|Foz do Iguaçu|PR|85862-270|Brazil|(45) 2426-2562|2/22/1980|220.488.931-80|Electronic data processor|Visa
5208|male|Matheus|Barros|Alameda Três 430|Belém|PA|66823-062|Brazil|(91) 2032-9613|3/20/1964|859.116.543-85|School teacher|MasterCard
5209|female|Luiza|Goncalves|Rua Duzentos e Trinta e Três 329|Cuiabá|MT|78088-265|Brazil|(65) 5780-2042|7/18/1988|902.940.137-09|Order clerk|Visa
5210|male|Carlos|Martins|Vila Paulo Cabral 333|Belém|PA|66080-010|Brazil|(91) 7393-7724|1/22/1957|953.296.722-28|Children's librarian|Visa
5211|female|Gabriela|Cavalcanti|Rua Sapucaia 1603|Diadema|SP|09973-070|Brazil|(11) 4840-4313|5/16/1980|818.992.384-68|Forest and conservation technician|Visa
5212|female|Isabella|Sousa|Rua Doutor Oliveira Botelho 304|Campos dos Goytacazes|RJ|28010-320|Brazil|(22) 3426-7684|7/21/1959|439.443.949-33|Procurement technician|Visa
5213|female|Emily|Dias|Rua Ametista 845|São João Del Rei|MG|36300-225|Brazil|(32) 9515-2602|12/3/1980|716.349.329-00|Payroll technician|MasterCard
5214|female|Sofia|Melo|Rua Dez 1273|Resende|RJ|27512-200|Brazil|(24) 5268-9430|7/2/1929|546.216.521-84|Geophysicist|Visa
5215|male|Rafael|Ribeiro|Rua Doze 1109|Ribeirão das Neves|MG|33903-453|Brazil|(31) 2634-6551|2/16/1992|657.730.052-63|Automated systems librarian|MasterCard
5216|female|Bruna|Correia|Rua Soldado Antônio Martins Oliveira 1192|Guarulhos|SP|07031-010|Brazil|(11) 2100-2113|10/6/1936|797.474.940-78|Forest and conservation worker|Visa
5217|male|Douglas|Silva|Rua Ildefonso Torres Garcia 324|Novo Hamburgo|RS|93347-260|Brazil|(51) 9242-9334|11/22/1955|875.470.222-43|Hand packer|Visa
5218|male|Erick|Gomes|Rua Gabriel Prestes 1564|Itu|SP|13311-470|Brazil|(11) 2104-8097|7/21/1932|996.765.566-61|Operations director|MasterCard
5219|female|Livia|Barros|Rua Bernardo Alves Costa 1404|Sete Lagoas|MG|35700-187|Brazil|(31) 2779-2444|9/26/1931|864.441.028-80|Sociocultural anthropologist|MasterCard
5220|female|Leonor|Dias|Rua Nadir 608|Guarulhos|SP|07020-201|Brazil|(11) 8526-8365|10/8/1932|927.689.555-82|Personnel clerk|MasterCard
5221|female|Larissa|Almeida|Rua Prefeito José Antônio Fagundes 1034|Mogi-Mirim|SP|13801-463|Brazil|(16) 5756-3410|11/7/1956|543.117.655-25|Marine equipment mechanic|MasterCard
5222|male|Julian|Rodrigues|Rua C 1135|Canoas|RS|92420-380|Brazil|(51) 7176-9104|8/26/1941|180.692.709-85|Personnel clerk|Visa
5223|female|Livia|Oliveira|Rua Tiradentes 1213|Mogi das Cruzes|SP|08795-375|Brazil|(11) 8106-2277|10/19/1944|588.162.241-34|Bartender helper|Visa
5224|female|Manuela|Silva|Rua dos Eucaliptos 905|Petrópolis|RJ|25740-120|Brazil|(24) 6612-5426|5/22/1935|249.310.000-02|Dipper|MasterCard
5225|male|Luiz|Melo|Rua 6 1030|Goiânia|GO|74853-180|Brazil|(62) 6088-7898|11/13/1966|476.500.845-23|Deckhand|MasterCard
5226|female|Thaís|Gomes|Rua Alexandre Schlemm 1534|Joinville|SC|89202-417|Brazil|(47) 4929-8282|7/1/1932|345.102.633-33|Human service worker|Visa
5227|male|Julian|Ribeiro|Rua Boa Ventura 1628|São Paulo|SP|03817-110|Brazil|(11) 5723-7271|10/2/1981|859.191.307-84|Clinical nurse specialist|MasterCard
5228|male|Nicolas|Ferreira|Rua Quatorze 855|Volta Redonda|RJ|27259-170|Brazil|(24) 5862-8208|9/30/1932|149.964.358-60|Registered representative|Visa
5229|female|Amanda|Martins|Travessa Mário Rizzo 1180|São Paulo|SP|03515-007|Brazil|(11) 4063-4739|5/24/1964|215.881.919-74|Superintendent|Visa
5230|female|Alice|Araujo|Rua Alex Holz 960|Joinville|SC|89223-400|Brazil|(47) 3824-3863|12/27/1935|628.267.459-05|Poultry cutter|Visa
5231|male|Gabriel|Gomes|Rua O 1753|Várzea Grande|MT|78120-652|Brazil|(65) 9352-6593|7/24/1982|697.712.862-34|Aerospace engineer|MasterCard
5232|female|Emily|Sousa|Rua Doutor Antônio da Silva Rios 400|São João Del Rei|MG|36307-220|Brazil|(32) 2129-8168|2/14/1948|242.844.379-84|Engineer|MasterCard
5233|female|Ágatha|Araujo|Avenida Braz P de Olivas 203|Lorena|SP|12610-215|Brazil|(12) 3814-4470|4/25/1972|275.335.859-17|Real estate agent|MasterCard
5234|male|Enzo|Fernandes|Rua Eduardo Prado 1238|Recife|PE|50960-420|Brazil|(81) 3592-8942|2/8/1932|145.568.165-21|Handymen|Visa
5235|male|Gustavo|Castro|Rua 64-A 1271|São Sebastião|DF|71691-034|Brazil|(61) 6076-9076|7/9/1980|236.400.284-22|Oral surgeon|MasterCard
5236|female|Rebeca|Cavalcanti|Rua Humberto Maul 820|João Pessoa|PB|58064-729|Brazil|(83) 6348-2739|6/17/1993|577.251.789-96|Volcanologist|Visa
5237|male|Kauã|Souza|Vila Eletricista João Trajano 1511|Natal|RN|59062-071|Brazil|(84) 2370-8911|12/24/1965|969.751.647-20|Microeconomist|Visa
5238|female|Leonor|Gomes|Morro do Arantes 377|Niterói|RJ|24110-135|Brazil|(21) 4368-8985|5/11/1983|354.110.081-82|Medical records technician|MasterCard
5239|male|Diego|Ferreira|Rua Isidoro Pedroso 665|Dourados|MS|79830-200|Brazil|(67) 2258-2201|6/13/1937|107.297.334-08|Social work policy maker|Visa
5240|male|Davi|Lima|Travessa Vitória 527|Fortaleza|CE|60332-640|Brazil|(85) 3187-4091|11/26/1972|392.287.604-86|Apartment manager|Visa
5241|male|Samuel|Goncalves|Rua André Alexandre Batista 308|Petrolina|PE|56310-100|Brazil|(87) 9063-8709|4/22/1952|261.180.789-20|Copy editor|Visa
5242|male|Kaua|Gomes|Rua Sebastião do Amaral 640|Cachoeiro de Itapemirim|ES|29314-050|Brazil|(28) 8347-8670|7/6/1941|587.579.705-30|Computer systems software engineer|Visa
5243|female|Isabela|Lima|Rua Jerônimo Monteiro 1873|Serra|ES|29161-758|Brazil|(27) 5219-9935|5/19/1993|496.469.787-89|Entomologist|Visa
5244|male|Nicolas|Fernandes|Escada Manuel Xavier Paes Barreto 987|Vitória|ES|29016-430|Brazil|(27) 6167-4252|2/15/1976|348.184.838-26|Dispensing optician|MasterCard
5245|female|Rafaela|Azevedo|Rua Quim-Quim do Mandu 666|Contagem|MG|32145-560|Brazil|(31) 8971-7239|7/17/1980|957.376.403-29|Head hunter|Visa
5246|male|Rafael|Dias|Rua A 1826|Várzea Grande|MT|78158-320|Brazil|(65) 4430-7558|8/15/1982|134.029.358-72|Recreation leader|Visa
5247|female|Gabriela|Ferreira|Alameda Parati 1302|Bebedouro|SP|14709-086|Brazil|(17) 4943-5745|2/7/1983|111.709.028-04|Farmer|MasterCard
5248|male|Victor|Azevedo|Avenida Itaboraí 345|São Paulo|SP|04135-000|Brazil|(11) 2967-4265|6/25/1972|726.758.584-12|Purchasing director|MasterCard
5249|female|Brenda|Silva|Rua Projetada 960|Franco da Rocha|SP|07810-105|Brazil|(11) 8981-2016|12/4/1954|275.737.341-23|Telemarketer|Visa
5250|female|Marisa|Santos|Rua Parol 1273|Recife|PE|52280-523|Brazil|(81) 7118-7292|8/8/1969|946.019.447-83|Secretary|MasterCard
5251|female|Laura|Cavalcanti|Rua Antônio Bizarro 588|Jundiaí|SP|13207-510|Brazil|(11) 4323-9983|12/8/1970|342.870.248-42|News reporter|Visa
5252|female|Eduarda|Fernandes|Rua Luiz Virgulino 253|Pará de Minas|MG|35660-277|Brazil|(37) 7557-6321|9/14/1951|892.406.572-66|Examiner|Visa
5253|female|Luana|Pinto|Rua Carlos Chagas 864|Ribeirão Preto|SP|14090-190|Brazil|(16) 6081-5826|8/5/1990|333.912.665-89|Demographic economist|Visa
5254|female|Marina|Santos|Avenida Morais Costa 862|São Paulo|SP|03253-000|Brazil|(11) 5043-5395|11/13/1942|793.595.287-65|Payroll assistant|MasterCard
5255|female|Melissa|Gomes|1ª Avenida Santa Eurídice 301|Salvador|BA|40283-880|Brazil|(71) 7115-9155|10/20/1988|669.122.310-12|University instructor|Visa
5256|female|Giovana|Cardoso|Rua Sônia Maria Lopes Moraes 638|Recife|PE|52090-790|Brazil|(81) 4260-7393|7/10/1984|456.212.027-40|Garment presser|MasterCard
5257|male|Tomás|Barbosa|Rua da Horta 546|Salvador|BA|40470-660|Brazil|(71) 7285-9684|2/11/1954|587.594.309-23|Cooling and freezing equipment operator|Visa
5258|female|Leila|Goncalves|Rua Rui Ramos 1960|Bagé|RS|96415-440|Brazil|(53) 6460-7947|11/30/1979|233.456.080-49|Criminal investigator|MasterCard
5259|male|Kauã|Ferreira|Praça Republica 1921|Guarulhos|SP|07181-251|Brazil|(11) 3772-4191|6/11/1965|452.787.958-83|Administrative office manager|MasterCard
5260|female|Leila|Ribeiro|Estrada do Rancho Alto 5|Teresópolis|RJ|25970-690|Brazil|(21) 4059-5792|5/27/1966|115.944.774-85|Benefits director|Visa
5261|male|Douglas|Gomes|Rua 4 1003|Rio Verde|GO|75906-010|Brazil|(64) 3068-9470|11/16/1941|737.840.734-84|Surgical technologist|MasterCard
5262|female|Brenda|Rocha|Quadra Vinte e Quatro 410|Juazeiro|BA|48908-240|Brazil|(74) 8249-4564|3/19/1955|442.721.097-07|Secret Service agent|MasterCard
5263|male|Eduardo|Pereira|Travessa Impressões do Crepúsculo 542|São Paulo|SP|02308-200|Brazil|(11) 5781-4368|9/14/1952|576.499.770-48|School bus driver|MasterCard
5264|female|Eduarda|Sousa|Rua Ronald Bulhões da Fonseca 640|Campos dos Goytacazes|RJ|28055-290|Brazil|(22) 6407-4786|1/2/1975|244.116.533-03|Colorist|Visa
5265|male|Arthur|Costa|Praça Lagoa Vermelha 1534|Lages|SC|88505-238|Brazil|(49) 2521-5180|3/31/1987|608.314.016-13|Administrative assistant for human resource|MasterCard
5266|male|Martim|Azevedo|Quadra 1004 Sul Avenida LO 25 712|Palmas|TO|77023-505|Brazil|(63) 7779-6922|1/8/1967|757.888.082-94|Textile presser|Visa
5267|female|Beatrice|Carvalho|Rua Abdelcrim Miguel 810|Ituiutaba|MG|38307-442|Brazil|(34) 3314-4662|2/20/1978|986.850.033-85|Piano repairer|MasterCard
5268|male|Luis|Lima|Rua Porto 379|Niterói|RJ|24330-320|Brazil|(21) 2571-5670|9/29/1939|239.833.886-04|Safety technician|Visa
5269|male|Matheus|Gomes|Quadra SCLRN 705 Bloco G 994|Brasília|DF|70730-557|Brazil|(61) 3888-8168|11/22/1982|775.694.986-23|Mixing and blending machine operator|Visa
5270|male|Joao|Goncalves|Rua Doutor João Maria Carneiro de Lyra 1377|Jaú|SP|17209-430|Brazil|(17) 6831-3575|10/23/1935|158.839.463-80|Farm equipment mechanic|Visa
5271|female|Livia|Barros|Rua 138 1068|Aparecida de Goiânia|GO|74946-450|Brazil|(62) 3872-5072|10/31/1936|608.917.134-41|Rail-track laying and maintenance equipment operator|MasterCard
5272|female|Luiza|Goncalves|Avenida dos Estados 518|Gravataí|RS|94135-000|Brazil|(51) 4936-8870|2/15/1929|283.782.716-92|Addictions nurse|Visa
5273|female|Clara|Alves|Rua Mariquita-dos-rios 1571|Arapongas|PR|86702-790|Brazil|(43) 6370-2244|6/20/1940|647.614.990-36|Executive editor|MasterCard
5274|male|Kauê|Sousa|Rua Jose Parizoto 847|Leme|SP|13610-812|Brazil|(19) 7080-3804|3/16/1929|477.740.825-65|Radio announcer|MasterCard
5275|female|Anna|Almeida|Rua Francisco Pinotti 943|Sertãozinho|SP|14161-143|Brazil|(16) 8214-4886|5/24/1981|987.244.845-04|Tax examiner|MasterCard
5276|male|Carlos|Barbosa|Viela Floreal 53|Guarulhos|SP|07262-370|Brazil|(11) 5654-5113|1/12/1979|897.173.993-28|Shoe machine tender|MasterCard
5277|female|Tânia|Carvalho|Rua Três 757|Gravataí|RS|94140-030|Brazil|(51) 5622-3661|8/30/1980|818.092.214-63|Marketing coordinator|Visa
5278|male|Mateus|Silva|Rua Um 252|Poços de Caldas|MG|37701-536|Brazil|(35) 3410-5656|8/1/1943|476.893.822-15|Event planner|MasterCard
5279|male|Caio|Almeida|Rua Iraque 1354|Feira de Santana|BA|44037-430|Brazil|(75) 9360-2287|2/15/1945|943.652.017-43|Neurosonographer|MasterCard
5280|female|Anna|Pinto|Rua E 1927|Ananindeua|PA|67133-550|Brazil|(91) 6734-8177|11/14/1969|402.201.685-04|Lens grinder|Visa
5281|female|Ágatha|Castro|Rua Jacutinga 272|Rio Claro|SP|13504-170|Brazil|(19) 5848-6019|5/18/1987|178.202.570-75|Silvering applicator|Visa
5282|female|Eduarda|Dias|Avenida Mário Batalha 479|Serra|ES|29160-781|Brazil|(27) 8669-5932|8/8/1945|148.160.460-03|Operations analyst|MasterCard
5283|female|Vitoria|Castro|Rua Alice Francisca Janowski 16|Ribeirão Preto|SP|14092-304|Brazil|(16) 7410-2490|11/6/1984|259.947.263-62|Mason|MasterCard
5284|female|Maria|Rocha|Rua José Rafael Mendes 1365|Belo Horizonte|MG|31035-280|Brazil|(31) 7116-2403|9/3/1979|945.558.585-57|Bulldozer operator|MasterCard
5285|male|Erick|Cardoso|Rua Elói Cerqueira 1466|São Paulo|SP|03062-010|Brazil|(11) 6009-2932|7/15/1957|676.232.055-44|Prosthetist|MasterCard
5286|male|Rodrigo|Melo|Rua Felisberto Fantinel 1483|Caxias do Sul|RS|95080-430|Brazil|(54) 6685-6860|1/24/1960|221.082.112-68|General superintendent|MasterCard
5287|female|Larissa|Martins|Conjunto Residencial 11 1475|Planaltina|DF|73370-011|Brazil|(61) 9871-6270|2/20/1969|367.641.631-70|Water conservationist|Visa
5288|male|Kauã|Castro|Quadra 406 Norte Avenida LO 12 1732|Palmas|TO|77006-460|Brazil|(63) 7346-7201|5/13/1982|708.079.064-68|Personnel clerk|MasterCard
5289|female|Maria|Melo|Rua Xingu 835|Itaguaí|RJ|23811-570|Brazil|(21) 7023-5591|3/8/1935|369.889.486-60|Physical geographer|Visa
5290|female|Maria|Souza|Rua Sebastião José Machado 1607|Cachoeiro de Itapemirim|ES|29316-100|Brazil|(28) 2751-6739|6/1/1958|364.834.141-37|Applicator|Visa
5291|male|Kauê|Correia|Rua Nelson Tartuce 1281|São Paulo|SP|03694-070|Brazil|(11) 7902-3569|11/22/1948|999.478.029-81|Medical laboratory technician|Visa
5292|male|Kaua|Oliveira|Rua Alcides Estêves dos Reis 1237|Juiz de Fora|MG|36036-556|Brazil|(32) 7909-4613|5/22/1991|229.774.082-40|Vegetable cook|MasterCard
5293|female|Luana|Ferreira|Rua Barra Acarai 1891|São Paulo|SP|02979-130|Brazil|(11) 5322-5446|8/14/1930|567.262.920-23|Two-stroke engine mechanic|Visa
5294|female|Bianca|Cardoso|Rua Anne Frank 536|Curitiba|PR|81650-020|Brazil|(41) 8588-4979|1/6/1943|331.722.804-03|Machine offbearer|MasterCard
5295|male|Carlos|Almeida|Rua Ernesto José Guerra 293|São Paulo|SP|03570-300|Brazil|(11) 8672-7511|11/19/1949|401.831.005-65|Armored car guard|Visa
5296|male|Eduardo|Pinto|Rua Augusto Jacob 554|Cariacica|ES|29141-688|Brazil|(27) 9214-6472|3/22/1928|832.488.802-01|Employment service specialist|Visa
5297|male|Gustavo|Ribeiro|Rua Quatorze 1278|Praia Grande|SP|11711-140|Brazil|(13) 5945-2292|2/6/1972|935.506.544-21|Grip|Visa
5298|male|Joao|Correia|Rua Jair Linhaci 1626|Jundiaí|SP|13210-540|Brazil|(11) 2365-6305|7/14/1967|715.947.787-10|Actor|MasterCard
5299|male|Murilo|Melo|Travessa Bacharel Jacinto Buarque de Holanda 1331|Maceió|AL|57025-335|Brazil|(82) 5580-4419|6/9/1959|455.424.355-99|Chief information officer|MasterCard
5300|male|Rodrigo|Alves|Rua Jacinto Pires da Silveira 506|Itatiba|SP|13253-302|Brazil|(11) 7382-4024|10/21/1962|343.852.854-11|Prosthodontist|MasterCard
5301|female|Nicole|Ribeiro|Rua Iraci Luchina 1622|Rio de Janeiro|RJ|23080-600|Brazil|(21) 5381-3704|5/25/1938|136.677.058-75|Credit counselor|MasterCard
5302|male|Vitór|Oliveira|Travessa João Abreu 788|Marabá|PA|68500-220|Brazil|(94) 6840-4198|6/14/1973|249.247.382-12|Fork lift driver|MasterCard
5303|female|Sarah|Azevedo|Passagem Bom Jesus 1231|Belém|PA|66821-890|Brazil|(91) 4205-9988|4/2/1970|848.720.943-28|Community health educator|MasterCard
5304|male|Martim|Gomes|Avenida Guarapuava 471|Uberaba|MG|38038-118|Brazil|(34) 2500-7911|6/7/1928|403.447.826-89|Personal chef|MasterCard
5305|male|Kauan|Rodrigues|Rua da Glória 1450|Bragança Paulista|SP|12906-530|Brazil|(11) 7801-9836|8/29/1956|451.304.506-04|Travel clerk|Visa
5306|female|Eduarda|Correia|Rua Mato Grosso 1358|Planaltina|DF|73330-102|Brazil|(61) 3027-6535|6/21/1934|920.421.773-18|Electronics technician|MasterCard
5307|male|Diego|Azevedo|Vila Tourão de Miranda 786|Belém|PA|66023-610|Brazil|(91) 5024-9357|1/19/1938|640.884.090-60|Songwriter|Visa
5308|male|Paulo|Fernandes|Rua Coronel Raimundo 479|Santana de Parnaíba|SP|06501-010|Brazil|(11) 6697-8975|5/11/1989|332.344.695-04|Underwriter|Visa
5309|male|Júlio|Santos|Quadra CLS 116 776|Brasília|DF|70386-500|Brazil|(61) 5179-5622|8/16/1949|818.613.939-70|Electrical drafter|Visa
5310|male|Arthur|Santos|Rua Basílio Cadeira da Silva 1229|Cariacica|ES|29141-881|Brazil|(27) 5099-9628|7/18/1961|227.322.505-97|Computer forensic investigator|MasterCard
5311|female|Isabelle|Almeida|Avenida Almirante Álvaro Alberto Silva 1641|São Paulo|SP|02419-040|Brazil|(11) 5436-8393|4/13/1969|447.139.106-27|Essayist|MasterCard
5312|female|Gabrielly|Sousa|Rua Medianeira 678|Guarapuava|PR|85030-500|Brazil|(42) 6948-9883|2/4/1948|307.046.804-75|Office and administrative support worker supervisor|Visa
5313|male|Felipe|Ferreira|Rua São Tomé 1414|Belo Horizonte|MG|30516-430|Brazil|(31) 7493-7869|3/12/1945|467.146.690-20|Allergist|MasterCard
5314|female|Isabela|Almeida|Rua Caraí 1326|Natal|RN|59110-570|Brazil|(84) 2798-6022|9/5/1983|878.230.769-50|Financial planner|MasterCard
5315|female|Luiza|Castro|Rua Anna Ascoli 1946|São Paulo|SP|05458-070|Brazil|(11) 4153-2880|4/25/1936|445.207.625-45|Material scheduling|Visa
5316|female|Raissa|Ferreira|Beco Horizombo José Rodrigues 336|Cariacica|ES|29152-505|Brazil|(27) 9776-7363|6/25/1991|532.289.334-23|Medical technician|MasterCard
5317|female|Sofia|Correia|Travessa Vinte e Nove 1273|Bauru|SP|17023-723|Brazil|(14) 3225-2215|1/29/1945|856.866.749-06|Childcare worker|Visa
5318|male|Kauan|Ribeiro|Setor SAM 1041|Brasília|DF|70620-000|Brazil|(61) 8194-3981|10/6/1991|793.883.458-00|Personal trainer|MasterCard
5319|female|Maria|Melo|Rua Herder 84|São Paulo|SP|05128-090|Brazil|(11) 4231-9969|9/15/1986|715.014.133-17|Employee development manager|Visa
5320|male|Kauan|Fernandes|Via Cirrus 138|Itapevi|SP|06683-390|Brazil|(11) 9207-6853|7/2/1963|495.417.632-86|Brattice builder|MasterCard
5321|male|Matheus|Fernandes|Rua Rodolfo Frederico Rooselvet 1285|São João da Boa Vista|SP|13870-591|Brazil|(19) 7065-9282|3/20/1932|643.785.858-39|Bleaching and dyeing machine operator|Visa
5322|male|Victor|Cardoso|Rua Inspetor Saul Trindade 1305|Viamão|RS|94450-360|Brazil|(51) 2310-3912|3/6/1984|440.521.969-96|Production and planning and and expediting clerk|MasterCard
5323|female|Bruna|Gomes|Avenida Olímpio Bolzan 872|Araraquara|SP|14806-355|Brazil|(16) 9053-7985|3/30/1930|366.968.977-04|Clothing designer|Visa
5324|male|Mateus|Rodrigues|Rua Quatro 580|Cariacica|ES|29157-404|Brazil|(27) 4649-9905|8/22/1972|832.827.694-15|Veterinary assistants and laboratory animal caretaker|Visa
5325|male|Renan|Araujo|Rua Caiçara 556|Marília|SP|17502-274|Brazil|(14) 4582-6140|5/13/1989|141.059.565-07|Personnel manager|Visa
5326|female|Ana|Oliveira|Rua Vinte e Cinco 1273|Ribeirão das Neves|MG|33823-320|Brazil|(31) 3124-8803|11/19/1954|265.285.087-39|Facility manager|MasterCard
5327|female|Clara|Sousa|Rua José Domingos Mafra 741|Itajaí|SC|88308-480|Brazil|(47) 2052-2982|11/7/1953|400.755.298-31|Employment consultant|MasterCard
5328|female|Amanda|Silva|Rua 11 1982|Caucaia|CE|61645-110|Brazil|(85) 9648-7048|10/6/1952|379.535.930-92|Education and training manager|MasterCard
5329|female|Livia|Cavalcanti|Travessa Purim 1475|Rio de Janeiro|RJ|22773-516|Brazil|(21) 5833-8782|2/5/1937|555.965.252-00|Mail carrier|MasterCard
5330|male|Júlio|Oliveira|Rua Olinda Troncoso Moure 960|Birigüi|SP|16200-322|Brazil|(18) 3150-9663|12/2/1974|603.683.798-41|Data processing equipment repairer|MasterCard
5331|male|Joao|Pinto|Rua Buriti 1833|Manaus|AM|69082-645|Brazil|(92) 4025-7598|12/1/1988|596.574.072-73|Telephone operator|Visa
5332|female|Leila|Ferreira|Rua Cadajás 116|Cuiabá|MT|78055-035|Brazil|(65) 8820-9336|9/8/1994|227.691.971-00|Freight and stock and and material mover|MasterCard
5333|female|Tânia|Sousa|Avenida Hi 1455|Tucuruí|PA|68459-430|Brazil|(94) 6135-5780|3/19/1954|571.672.435-31|Organic chemist|MasterCard
5334|female|Gabrielly|Gomes|Rua Cesário dos Santos 872|São Paulo|SP|03238-000|Brazil|(11) 8373-5263|2/21/1940|617.068.358-92|Heating and air-conditioning and and refrigeration engineer|Visa
5335|male|Martim|Castro|Rua Hipólito Gomes 1119|Guarapuava|PR|85025-090|Brazil|(42) 4739-4206|7/24/1954|493.673.593-06|Recreational therapist|MasterCard
5336|male|Rodrigo|Ferreira|Rua 23 Conjunto C 1229|São Sebastião|DF|71694-037|Brazil|(61) 9078-9927|7/5/1970|435.888.577-29|Fabricator|MasterCard
5337|male|Caio|Cavalcanti|Rua José Marcondes de Carvalho 195|Mogi das Cruzes|SP|08840-170|Brazil|(11) 5003-7844|1/23/1981|629.393.556-06|Sewer|MasterCard
5338|female|Sarah|Santos|Rua Professor Antônio Machado Rosa 638|Caxias do Sul|RS|95084-330|Brazil|(54) 5649-5980|6/21/1966|481.361.206-76|Agent-contract clerk|MasterCard
5339|female|Leila|Rodrigues|Rua Frei Plácido Rohlt 431|Chapecó|SC|89813-210|Brazil|(49) 2865-8420|3/18/1949|362.330.460-33|Power plant distributor|Visa
5340|female|Bianca|Ferreira|Beco X 63|Porto Alegre|RS|91440-510|Brazil|(51) 8681-8045|12/1/1929|841.801.711-20|Top executive|MasterCard
5341|female|Melissa|Ribeiro|Rua Chuva de Ouro 796|São Paulo|SP|04896-410|Brazil|(11) 9213-7511|9/29/1946|815.178.170-05|Adjudicator|Visa
5342|male|Júlio|Carvalho|Rua Quintino Bocaiúva 1831|Apucarana|PR|86811-000|Brazil|(43) 7864-6066|7/10/1934|955.730.949-04|Marketing coordinator|Visa
5343|female|Tânia|Sousa|Rua Topázio 786|São Bernardo do Campo|SP|09841-480|Brazil|(11) 2572-9943|6/18/1931|994.077.858-90|Management scientist|MasterCard
5344|female|Fernanda|Santos|Rua E 5 1045|Goiânia|GO|74320-110|Brazil|(62) 8925-2734|11/21/1984|378.353.386-45|Concrete paving machine operator|Visa
5345|male|Douglas|Almeida|Rua Doutor Luís Ribeiro de Castilho 830|Guaratinguetá|SP|12510-460|Brazil|(12) 3196-8174|3/28/1955|206.119.832-57|Hearing therapist|MasterCard
5346|female|Isabelle|Cavalcanti|Rua Moassy 1509|Contagem|MG|32341-170|Brazil|(31) 7177-6455|8/22/1941|709.288.769-00|Shampooer|MasterCard
5347|male|Kai|Araujo|Rua Barreiros 1089|Recife|PE|51011-260|Brazil|(81) 7557-4281|4/7/1940|539.844.275-90|Production machinist|Visa
5348|female|Anna|Lima|Rua 11 1642|Valparaíso de Goiás|GO|72870-427|Brazil|(61) 2629-3297|9/26/1945|229.724.258-12|Pesticide sprayer|Visa
5349|male|Breno|Ferreira|Rua Martins 1840|São Bernardo do Campo|SP|09686-000|Brazil|(11) 5729-8601|1/16/1952|404.494.118-18|Medical equipment repairer|MasterCard
5350|male|Luis|Oliveira|Alameda Valinhos 1042|Santana de Parnaíba|SP|06542-090|Brazil|(11) 8890-5621|2/5/1974|830.655.406-06|Benefits administrator|Visa
5351|female|Beatrice|Gomes|Rua Governador Pedro de Toledo 1106|Araçatuba|SP|16025-405|Brazil|(18) 6957-2909|9/21/1956|354.455.690-12|Telecommunications equipment repairer|Visa
5352|male|Rafael|Castro|Alameda Maria Dirce Gomes da Silva 1123|Maceió|AL|57062-410|Brazil|(82) 8381-8181|12/25/1992|131.085.019-41|Econometrician|MasterCard
5353|female|Marina|Pereira|Avenida Constantino Nery 372|Manaus|AM|69050-000|Brazil|(92) 9632-4008|5/24/1963|696.375.384-96|Construction and building inspector|MasterCard
5354|male|Matheus|Fernandes|Rua Doutor José Pacheco de Medeiros 1106|Cataguases|MG|36770-604|Brazil|(32) 8906-6833|10/11/1985|263.583.392-30|Employee training specialist|MasterCard
5355|female|Marina|Ferreira|Rua J 117|Governador Valadares|MG|35059-610|Brazil|(33) 9291-6309|4/7/1984|247.170.010-10|Revenue agent|MasterCard
5356|male|Bruno|Santos|Rua Eliseu Visconti 1312|Itaguaí|RJ|23821-110|Brazil|(21) 6010-7958|9/29/1964|769.382.833-89|Slot key person|Visa
5357|male|Luís|Melo|Praça José Adriano Marrey Júnior 1030|Araçatuba|SP|16025-115|Brazil|(18) 7035-8225|6/29/1947|831.692.614-87|Paper coating machine operator|MasterCard
5358|male|Danilo|Barbosa|Travessa Costa e Silva 1542|Teófilo Otoni|MG|39800-193|Brazil|(33) 3716-9766|2/22/1983|443.036.804-00|Scaler|MasterCard
5359|female|Sofia|Pereira|Rua SC - 018 959|Brusque|SC|88359-073|Brazil|(47) 3255-4295|6/30/1929|581.455.914-49|Artificial inseminator|Visa
5360|male|Kai|Cunha|Rua 1 645|Fortaleza|CE|60341-740|Brazil|(85) 8619-6760|7/12/1981|318.000.926-87|Hearing officer|MasterCard
5361|male|Eduardo|Rocha|Rua Oitenta e Quatro 1988|Sete Lagoas|MG|35703-346|Brazil|(31) 6285-5882|10/3/1936|462.893.370-76|Office machine operator|MasterCard
5362|male|Tiago|Gomes|Rua Canário 227|Recife|PE|52170-110|Brazil|(81) 2880-6460|6/10/1970|758.840.063-30|Airline steward|Visa
5363|male|Leonardo|Pinto|Rua Itapais 1883|Aparecida de Goiânia|GO|74905-390|Brazil|(62) 3548-7570|9/18/1982|762.793.337-44|Operating engineer|MasterCard
